"profil","distance_m","altitude_m"
"P1",0,100
"P1",10,102
"P1",20,104
"P1",30,106
"P1",40,108
"P1",50,110
"P1",60,112
"P1",70,114
"P1",80,116
"P1",90,118
"P1",100,120
"P1",110,122
"P1",120,124
"P1",130,126
"P1",140,128
"P1",150,130
"P1",160,132
"P1",170,134
"P1",180,136
"P1",190,138
"P1",200,140
"P2",0,100
"P2",10,101.732050807569
"P2",20,103.464101615138
"P2",30,105.196152422707
"P2",40,106.928203230276
"P2",50,108.660254037844
"P2",60,110.392304845413
"P2",70,112.124355652982
"P2",80,113.856406460551
"P2",90,115.58845726812
"P2",100,117.320508075689
"P2",110,119.052558883258
"P2",120,120.784609690827
"P2",130,122.516660498395
"P2",140,124.248711305964
"P2",150,125.980762113533
"P2",160,127.712812921102
"P2",170,129.444863728671
"P2",180,131.17691453624
"P2",190,132.908965343809
"P2",200,134.641016151378
